TVD,PP
3631.926316,1840.480964
3632.421053,1845.637604
3632.915789,1853.672898
3633.410526,1863.76312
3633.905263,1875.594298
3634.4,1889.390395
3634.894737,1905.428105
3635.389474,1923.767617
3635.884211,1943.742951
3636.378947,1963.7412
3636.873684,1981.199735
3637.368421,1993.1354
3637.863158,1998.169176
3638.357895,1997.790562
3638.852632,1996.46637
3639.347368,1998.936634
3639.842105,2006.351983
3640.336842,2015.847554
3640.831579,2023.003752
3641.326316,2025.265217
3641.821053,2022.61899
3642.315789,2017.013379
3642.810526,2011.604277
3643.305263,2008.295473
3643.8,2006.563506
3644.294737,2004.443323
3644.789474,2001.602251
3645.284211,2000.72552
3645.778947,2004.414162
3646.273684,2011.42499
3646.768421,2015.928816
3647.263158,2011.387138
3647.757895,1993.876391
3648.252632,1963.817392
3648.747368,1926.723123
3649.242105,1889.468818
3649.736842,1854.858054
3650.231579,1820.999465
3650.726316,1786.861488
3651.221053,1756.544286
3651.715789,1734.743868
3652.210526,1719.596255
3652.705263,1703.235816
3653.2,1681.769862
3653.694737,1660.889808
3654.189474,1647.770529
3654.684211,1641.021414
3655.178947,1630.075444
3655.673684,1605.792258
3656.168421,1568.889317
3656.663158,1530.544207
3657.157895,1505.82752
3657.652632,1505.641732
3658.147368,1531.831928
3658.642105,1575.949552
3659.136842,1626.08573
3659.631579,1675.037587
3660.126316,1721.503053
3660.621053,1764.620248
3661.115789,1800.444816
3661.610526,1826.038327
3662.105263,1844.307884
3662.6,1861.790983
3663.094737,1882.063857
3663.589474,1902.778468
3664.084211,1920.480223
3664.578947,1935.229452
3665.073684,1950.496419
3665.568421,1969.278054
3666.063158,1991.532781
3666.557895,2013.767049
3667.052632,2030.79789
3667.547368,2039.708562
3668.042105,2041.591777
3668.536842,2040.160973
3669.031579,2038.113803
3669.526316,2035.638984
3670.021053,2031.649918
3670.515789,2026.111505
3671.010526,2019.877223
3671.505263,2012.953393
3672,2002.710171
3672.494737,1984.409805
3672.989474,1954.417332
3673.484211,1913.534455
3673.978947,1868.430941
3674.473684,1828.154406
3674.968421,1798.450403
3675.463158,1778.054841
3675.957895,1761.40224
3676.452632,1744.12107
3676.947368,1725.764958
3677.442105,1708.269516
3677.936842,1692.708695
3678.431579,1678.429904
3678.926316,1664.176723
3679.421053,1647.807551
3679.915789,1626.835956
3680.410526,1600.689947
3680.905263,1573.022858
3681.4,1548.757878
3681.894737,1530.125026
3682.389474,1515.545845
3682.884211,1502.254854
3683.378947,1491.013582
3683.873684,1484.185034
3684.368421,1482.819347
3684.863158,1485.188072
3685.357895,1489.475877
3685.852632,1494.872691
3686.347368,1501.909378
3686.842105,1511.202513
3687.336842,1520.701795
3687.831579,1527.423369
3688.326316,1529.507929
3688.821053,1528.461106
3689.315789,1529.726681
3689.810526,1539.395495
3690.305263,1558.77676
3690.8,1582.601141
3691.294737,1603.977463
3691.789474,1620.255368
3692.284211,1635.080713
3692.778947,1654.225493
3693.273684,1677.801415
3693.768421,1697.96747
3694.263158,1704.591
3694.757895,1694.508029
3695.252632,1674.543994
3695.747368,1656.761026
3696.242105,1648.931515
3696.736842,1650.349358
3697.231579,1656.216089
3697.726316,1662.911027
3698.221053,1669.557805
3698.715789,1675.650811
3699.210526,1679.665122
3699.705263,1678.910285
3700.2,1670.807672
3700.694737,1654.562484
3701.189474,1632.238861
3701.684211,1607.936445
3702.178947,1584.71639
3702.673684,1562.722632
3703.168421,1539.668804
3703.663158,1514.836844
3704.157895,1491.278928
3704.652632,1471.999606
3705.147368,1455.588443
3705.642105,1436.478612
3706.136842,1411.013546
3706.631579,1380.804794
3707.126316,1349.731204
3707.621053,1317.260472
3708.115789,1278.424614
3708.610526,1232.215966
3709.105263,1187.211334
3709.6,1157.2666
3710.094737,1150.228825
3710.589474,1161.012828
3711.084211,1178.456654
3711.578947,1197.049112
3712.073684,1219.538486
3712.568421,1250.515013
3713.063158,1290.334643
3713.557895,1335.721943
3714.052632,1382.289768
3714.547368,1426.417249
3715.042105,1464.807273
3715.536842,1494.523764
3716.031579,1514.034947
3716.526316,1522.769633
3717.021053,1521.220916
3717.515789,1511.573841
3718.010526,1498.007649
3718.505263,1484.64152
3719,1473.100581
3719.494737,1463.428405
3719.989474,1456.129105
3720.484211,1454.126855
3720.978947,1459.956477
3721.473684,1471.837797
3721.968421,1484.004993
3722.463158,1490.783144
3722.957895,1491.001119
3723.452632,1487.260442
3723.947368,1483.102508
3724.442105,1480.434151
3724.936842,1480.206802
3725.431579,1483.87429
3725.926316,1493.338262
3726.421053,1511.023589
3726.915789,1539.37632
3727.410526,1580.11184
3727.905263,1631.901405
3728.4,1688.477998
3728.894737,1740.490883
3729.389474,1780.13663
3729.884211,1805.344359
3730.378947,1819.780856
3730.873684,1829.224284
3731.368421,1837.343312
3731.863158,1843.54692
3732.357895,1845.187849
3732.852632,1841.683645
3733.347368,1836.58786
3733.842105,1835.550647
3734.336842,1841.783522
3734.831579,1853.834788
3735.326316,1867.308314
3735.821053,1878.368237
3736.315789,1885.04659
