,P
3435.031579,1293.369557
3435.526316,1330.541745
3436.021053,1374.507192
3436.515789,1423.577239
3437.010526,1473.075058
3437.505263,1519.568088
3438,1564.396451
3438.5,1611.514191
3439,1661.619432
3439.5,1709.449161
3440,1748.012427
3440.5,1775.131472
3441,1794.686598
3441.5,1812.628751
3442,1831.922665
3442.5,1851.701617
3443,1870.120357
3443.5,1886.821672
3444,1902.760299
3444.5,1918.516451
3445,1933.175093
3445.5,1944.654045
3446,1950.842502
3446.5,1950.464203
3447,1942.620333
3447.5,1927.093487
3448,1906.089313
3448.5,1885.209759
3449,1871.454024
3449.5,1868.545622
3450,1874.315004
3450.5,1882.744692
3451,1888.933858
3451.5,1891.353882
3452,1890.557489
3452.5,1886.839474
3453,1878.719279
3453.5,1863.562262
3454,1839.452787
3454.5,1806.894435
3455,1769.371462
3455.5,1732.555831
3456,1702.667763
3456.5,1684.383226
3457,1679.943059
3457.5,1688.124302
3458,1702.870046
3458.5,1714.484626
3459,1714.007617
3459.5,1698.652565
3460,1673.172615
3460.5,1646.200308
3461,1623.990468
3461.5,1607.862834
3462,1596.982067
3462.5,1591.57809
3463,1594.284545
3463.5,1608.070528
3464,1633.547821
3464.5,1666.610009
3465,1699.701623
3465.5,1726.335223
3466,1744.077992
3466.5,1754.60806
3467,1761.16224
3467.5,1766.977641
3468,1774.98271
3468.5,1788.092074
3469,1807.828396
3469.5,1832.579192
3470,1858.565498
3470.5,1881.614589
