,TVD,PP,FP,PP_ED,FP_ED,PP_ED_SF,FP_ED_SF,MW
7035,3517.5,1697.876741,2540.203063,9.282580183,13.88772108,9.782580183,13.38772108,10.9
7036,3518,1696.827907,2541.148133,9.275527545,13.8909134,9.775527545,13.3909134,10.9
7037,3518.5,1695.451391,2541.266103,9.266685932,13.88958419,9.766685932,13.38958419,10.9
7038,3519,1693.895763,2540.797414,9.256868007,13.88504937,9.756868007,13.38504937,10.9
7039,3519.5,1692.347379,2540.333528,9.247092456,13.88054208,9.747092456,13.38054208,10.9
7040,3520,1690.921435,2540.213207,9.237988607,13.87791306,9.737988607,13.37791306,10.9
7041,3520.5,1689.623768,2540.648102,9.229588059,13.87831767,9.729588059,13.37831767,10.9
7042,3521,1688.427894,2541.531982,9.221745868,13.88117439,9.721745868,13.38117439,10.9
7043,3521.5,1687.345567,2542.454568,9.21452597,13.88424168,9.71452597,13.38424168,10.9
7044,3522,1686.38877,2543.005803,9.207993544,13.88528045,9.707993544,13.38528045,10.9
7045,3522.5,1685.545919,2543.238738,9.202085051,13.8845812,9.702085051,13.3845812,10.9
7046,3523,1684.823494,2543.545597,9.196835597,13.88428567,9.696835597,13.38428567,10.9
7047,3523.5,1684.290829,2544.147892,9.192623315,13.88560267,9.692623315,13.38560267,10.9
7048,3524,1684.025791,2544.794532,9.189872689,13.88716129,9.689872689,13.38716129,10.9
7049,3524.5,1684.005057,2545.262229,9.188455847,13.8877431,9.688455847,13.3877431,10.9
7050,3525,1684.131753,2545.730786,9.187843714,13.88832944,9.687843714,13.38832944,10.9
7051,3525.5,1684.404278,2546.3787,9.188027221,13.88989396,9.688027221,13.38989396,10.9
7052,3526,1685.055535,2546.989952,9.190276273,13.89125809,9.690276273,13.39125809,10.9
7053,3526.5,1686.436977,2547.211786,9.196506546,13.89049824,9.696506546,13.39049824,10.9
7054,3527,1688.697478,2547.105533,9.207528068,13.88794973,9.707528068,13.38794973,10.9
7055,3527.5,1691.592362,2547.357895,9.222004917,13.887357,9.722004917,13.387357,10.9
7056,3528,1694.634236,2548.627923,9.237278888,13.89231163,9.737278888,13.39231163,10.9
7057,3528.5,1697.420125,2550.632408,9.251153381,13.90126774,9.751153381,13.40126774,10.9
7058,3529,1699.78099,2552.617895,9.26270784,13.91011779,9.76270784,13.41011779,10.9
7059,3529.5,1701.708453,2554.191598,9.271897593,13.91672168,9.771897593,13.41672168,10.9
7060,3530,1703.186359,2555.244222,9.278635647,13.92048498,9.778635647,13.42048498,10.9
7061,3530.5,1704.125048,2555.717263,9.282434651,13.92109019,9.782434651,13.42109019,10.9
7062,3531,1704.433292,2555.727632,9.28279901,13.91917539,9.78279901,13.41917539,10.9
7063,3531.5,1704.11906,2555.703437,9.279773578,13.91707292,9.779773578,13.41707292,10.9
7064,3532,1703.332986,2556.056034,9.274179946,13.91702258,9.774179946,13.41702258,10.9
7065,3532.5,1702.298228,2556.728075,9.267234078,13.91871128,9.767234078,13.41871128,10.9
7066,3533,1701.196725,2557.366293,9.259926869,13.9202154,9.759926869,13.4202154,10.9
7067,3533.5,1700.091406,2557.683035,9.252600964,13.91996949,9.752600964,13.41996949,10.9
7068,3534,1698.977852,2557.778294,9.245232316,13.91851842,9.745232316,13.41851842,10.9
7069,3534.5,1697.905586,2557.784764,9.238090393,13.91658467,9.738090393,13.41658467,10.9
7070,3535,1697.00207,2557.661295,9.231868512,13.91394459,9.731868512,13.41394459,10.9
7071,3535.5,1696.368805,2557.479793,9.227118379,13.91098959,9.727118379,13.41098959,10.9
7072,3536,1695.947618,2557.470509,9.223522984,13.90897205,9.723522984,13.40897205,10.9
7073,3536.5,1695.527231,2557.823209,9.219932955,13.90892347,9.719932955,13.40892347,10.9
7074,3537,1694.92087,2558.26202,9.2153328,13.9093431,9.7153328,13.4093431,10.9
7075,3537.5,1694.132192,2558.313172,9.209742819,13.90765519,9.709742819,13.40765519,10.9
7076,3538,1693.343732,2557.789573,9.204155607,13.9028437,9.704155607,13.4028437,10.9
7077,3538.5,1692.741487,2557.058079,9.199581998,13.89690372,9.699581998,13.39690372,10.9
7078,3539,1692.328541,2556.610579,9.196038324,13.89250864,9.696038324,13.39250864,10.9
